timestamp, gpu_name, memory_used_MiB, gpu_util_percent
2026/09/25 20:30:16.434, NVIDIA GeForce RTX 4060 Laptop GPU, 4036, 96
2026/09/25 20:30:21.522, NVIDIA GeForce RTX 4060 Laptop GPU, 4037, 97
2026/09/25 20:30:26.608, NVIDIA GeForce RTX 4060 Laptop GPU, 4029, 97
2026/09/25 20:30:31.688, NVIDIA GeForce RTX 4060 Laptop GPU, 4024, 97
2026/09/25 20:30:36.761, NVIDIA GeForce RTX 4060 Laptop GPU, 4033, 97
2026/09/25 20:30:41.828, NVIDIA GeForce RTX 4060 Laptop GPU, 4033, 97
2026/09/25 20:30:46.891, NVIDIA GeForce RTX 4060 Laptop GPU, 4025, 96
2026/09/25 20:30:51.959, NVIDIA GeForce RTX 4060 Laptop GPU, 4037, 96
2026/09/25 20:30:57.020, NVIDIA GeForce RTX 4060 Laptop GPU, 4031, 97
2026/09/25 20:31:02.104, NVIDIA GeForce RTX 4060 Laptop GPU, 4032, 97
2026/09/25 20:31:07.168, NVIDIA GeForce RTX 4060 Laptop GPU, 4032, 96
2026/09/25 20:31:12.250, NVIDIA GeForce RTX 4060 Laptop GPU, 4034, 97
2026/09/25 20:31:17.320, NVIDIA GeForce RTX 4060 Laptop GPU, 4032, 97
2026/09/25 20:31:22.390, NVIDIA GeForce RTX 4060 Laptop GPU, 4033, 96
2026/09/25 20:31:27.467, NVIDIA GeForce RTX 4060 Laptop GPU, 4033, 96
2026/09/25 20:31:32.538, NVIDIA GeForce RTX 4060 Laptop GPU, 4030, 96
